delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
 0.068402 13.868946  3.250000 4150.580566 3515.257080 6639.337891 1826.328979  0.532190 -0.025132 -0.009192      -nan 
 0.048205 13.887857  3.275000 2871.069824 3608.933838 6634.816895 1977.561768  0.489634 -0.039871 -0.011954      -nan 
 0.030092 13.906330  3.300000 1732.433594 3674.683838 6560.374023 2127.320557  0.436856 -0.053591 -0.014770      -nan 
 0.014209 13.923380  3.325000 738.133911 3715.756836 6410.797852 2274.049561  0.375976 -0.064938 -0.017343      -nan 
 0.000378 13.938366  3.350000 -59.983765 3735.183838 6204.336914 2416.335693  0.309182 -0.073783 -0.019391      -nan 
-0.011847 13.950910  3.375000 -685.429260 3737.106201 5928.680664 2553.195068  0.238684 -0.079786 -0.020655      -nan 
-0.022795 13.960830  3.400000 -1204.461548 3725.178467 5560.493164 2683.330322  0.166650 -0.083039 -0.021016      -nan 
-0.032486 13.968060  3.425000 -1655.239502 3701.676025 5067.205566 2804.829834  0.094938 -0.083957 -0.020472      -nan 
-0.040945 13.972736  3.450000 -2061.040283 3668.033691 4409.260742 2915.066162  0.025750 -0.082537 -0.019152      -nan 
-0.048447 13.975143  3.475000 -2458.997070 3625.153809 3608.390625 3010.476074 -0.038969 -0.078527 -0.017265      -nan 
-0.055372 13.975623  3.500000 -2859.424805 3573.243408 2711.404785 3087.857422 -0.097738 -0.072607 -0.015057      -nan 
-0.061880 13.974492  3.525000 -3294.660889 3512.371582 1776.234619 3144.957031 -0.149815 -0.065483 -0.012769      -nan 
-0.068101 13.971991  3.550000 -3765.480957 3441.915527 848.947449 3180.795166 -0.195354 -0.058245 -0.010620      -nan 
-0.074210 13.968307  3.575000 -4240.143066 3361.122803 -56.091644 3195.507812 -0.234720 -0.051486 -0.008763      -nan 
-0.080097 13.963589  3.600000 -4713.328613 3269.860107 -942.972290 3189.671875 -0.268240 -0.045047 -0.007338      -nan 
-0.085931 13.957985  3.625000 -5141.834961 3168.149902 -1781.179565 3163.711426 -0.296001 -0.038819 -0.006431      -nan 
-0.091582 13.951616  3.650000 -5539.697754 3056.944824 -2494.604004 3118.775391 -0.318698 -0.032723 -0.006061      -nan 
-0.097018 13.944611  3.675000 -5894.933105 2936.936035 -3038.941406 3057.672363 -0.337670 -0.027883 -0.006157      -nan 
-0.102019 13.937114  3.700000 -6196.627441 2809.071289 -3456.426270 2984.225098 -0.354213 -0.024736 -0.006593      -nan 
-0.106508 13.929246  3.725000 -6463.957520 2674.568604 -3777.286133 2901.301025 -0.369207 -0.022627 -0.007272      -nan 
-0.110277 13.921153  3.750000 -6663.668457 2534.166748 -4049.354980 2811.113037 -0.382999 -0.021380 -0.008105      -nan 
-0.113314 13.912979  3.775000 -6820.898926 2389.336914 -4281.527344 2714.795166 -0.395627 -0.020030 -0.009029      -nan 
-0.115432 13.904873  3.800000 -6919.160645 2240.980957 -4464.126465 2613.293701 -0.407137 -0.018734 -0.009985      -nan 
-0.116619 13.897008  3.825000 -6950.236816 2090.350098 -4606.766602 2507.770020 -0.417504 -0.017444 -0.010895      -nan 
-0.116757 13.889617  3.850000 -6900.736816 1938.865601 -4715.119629 2399.173340 -0.426540 -0.015948 -0.011684      -nan 
