delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
 0.090465 13.857993  0.112643  2.350000 5921.098145 -2509.671387 2354.474609 -2627.476074  0.271997  0.213232  0.008043 20688.761719  0.112643  0.123124 
 0.098297 13.853155  0.173925  2.375000 6266.236328 -2380.841797 2695.487305 -2569.555664  0.297541  0.247020  0.009401 20301.775391  0.173925  0.141326 
 0.106137 13.847558  0.153000  2.400000 6570.297363 -2244.416504 2996.828857 -2503.775391  0.322393  0.280128  0.010768 19840.150391  0.153000  0.159934 
 0.113990 13.841227  0.136579  2.425000 6874.170898 -2101.284180 3276.325684 -2431.048828  0.346636  0.312611  0.012103 19307.910156  0.136579  0.178106 
 0.121813 13.834282  0.130159  2.450000 7118.322266 -1951.406860 3541.291260 -2351.854492  0.370235  0.344734  0.013374 18709.851562  0.130159  0.195794 
 0.129636 13.826918  0.192747  2.475000 7339.079590 -1796.128418 3771.357178 -2266.568359  0.393118  0.376032  0.014542 18051.308594  0.192747  0.212193 
 0.137449 13.819367  0.232919  2.500000 7522.035645 -1635.909668 3983.933105 -2175.994385  0.415273  0.406689  0.015562 17337.953125  0.232919  0.226792 
 0.145249 13.811852  0.234648  2.525000 7670.485840 -1471.539917 4189.029297 -2080.557617  0.436559  0.436512  0.016413 16575.593750  0.234648  0.239115 
 0.153047 13.804589  0.245984  2.550000 7786.719238 -1303.730713 4365.563477 -1980.434570  0.456802  0.465221  0.017068 15769.909180  0.245984  0.248928 
 0.160814 13.797785  0.227007  2.575000 7864.419922 -1133.137329 4534.651855 -1876.280884  0.476008  0.492824  0.017497 14926.173828  0.227007  0.255801 
 0.168554 13.791590  0.247828  2.600000 7922.540039 -960.556946 4702.560547 -1768.286133  0.493911  0.519000  0.017706 14049.125977  0.247828  0.259493 
 0.176229 13.786107  0.203085  2.625000 7961.425781 -786.377808 4855.226074 -1656.470215  0.510448  0.543545  0.017703 13142.839844  0.203085  0.260203 
 0.183797 13.781401  0.221924  2.650000 7982.867676 -611.025635 4997.829590 -1541.186646  0.525596  0.566445  0.017481 12210.628906  0.221924  0.257925 
 0.191207 13.777463  0.214600  2.675000 7994.363770 -434.881805 5137.431152 -1422.675781  0.539278  0.587636  0.017061 11255.129883  0.214600  0.252756 
 0.198394 13.774237  0.239915  2.700000 7999.050293 -258.159058 5278.379883 -1301.006104  0.551449  0.607050  0.016472 10278.444336  0.239915  0.245026 
 0.205273 13.771630  0.216406  2.725000 8000.475098 -81.007172 5397.454590 -1176.152710  0.562165  0.624595  0.015738 9282.233398  0.216406  0.235175 
